"","id","age","male","profession","recognize","wager","eyebrow","robot","child"
"79.mean-4",79,13,1,5,1,2,"b.Mean","d.K.bot",TRUE
"80.mean-4",80,71,1,6,2,35,"b.Mean","d.K.bot",FALSE
"81.mean-4",81,42,1,3,1,20,"b.Mean","d.K.bot",FALSE
"82.mean-4",82,25,1,3,2,20,"b.Mean","d.K.bot",FALSE
"88.mean-4",88,43,1,3,2,0,"b.Mean","d.K.bot",FALSE
"89.mean-4",89,24,0,3,2,0,"b.Mean","d.K.bot",FALSE
"90.mean-4",90,24,1,3,1,20,"b.Mean","d.K.bot",FALSE
"91.mean-4",91,NA,NA,NA,NA,30,"b.Mean","d.K.bot",NA
"1.nice-2",1,71,1,1,2,90,"a.Nice","b.Kismet",FALSE
"2.nice-2",2,62,0,3,2,15,"a.Nice","b.Kismet",FALSE
"3.nice-2",3,71,1,1,1,50,"a.Nice","b.Kismet",FALSE
"4.nice-2",4,68,0,6,1,60,"a.Nice","b.Kismet",FALSE
"5.nice-2",5,48,1,1,2,100,"a.Nice","b.Kismet",FALSE
"6.nice-2",6,46,0,6,2,100,"a.Nice","b.Kismet",FALSE
"7.nice-2",7,54,0,1,2,10,"a.Nice","b.Kismet",FALSE
"8.nice-2",8,49,0,3,2,100,"a.Nice","b.Kismet",FALSE
"9.nice-2",9,48,1,3,2,30,"a.Nice","b.Kismet",FALSE
"11.nice-2",11,55,0,1,2,50,"a.Nice","b.Kismet",FALSE
"12.nice-2",12,NA,0,1,2,20,"a.Nice","b.Kismet",NA
"15.nice-2",15,31,0,3,1,80,"a.Nice","b.Kismet",FALSE
"18.nice-2",18,28,1,5,1,60,"a.Nice","b.Kismet",FALSE
"19.nice-2",19,24,0,5,2,99,"a.Nice","b.Kismet",FALSE
"20.nice-2",20,27,0,5,2,75,"a.Nice","b.Kismet",FALSE
"21.nice-2",21,27,1,5,2,60,"a.Nice","b.Kismet",FALSE
"22.nice-2",22,25,1,6,2,10,"a.Nice","b.Kismet",FALSE
"23.nice-2",23,23,1,3,1,100,"a.Nice","b.Kismet",FALSE
"26.nice-2",26,26,NA,3,2,50,"a.Nice","b.Kismet",FALSE
"27.nice-2",27,31,1,5,2,100,"a.Nice","b.Kismet",FALSE
"28.nice-2",28,25,0,5,2,50,"a.Nice","b.Kismet",FALSE
"29.nice-2",29,24,1,5,1,70,"a.Nice","b.Kismet",FALSE
"30.nice-2",30,24,0,5,2,20,"a.Nice","b.Kismet",FALSE
"31.nice-2",31,26,0,5,1,50,"a.Nice","b.Kismet",FALSE
"32.nice-2",32,22,0,2,1,100,"a.Nice","b.Kismet",FALSE
"43.nice-2",43,22,0,5,2,20,"a.Nice","b.Kismet",FALSE
"44.nice-2",44,24,0,5,2,100,"a.Nice","b.Kismet",FALSE
"45.nice-2",45,26,0,5,1,100,"a.Nice","b.Kismet",FALSE
"58.nice-2",58,38,1,3,1,100,"a.Nice","b.Kismet",FALSE
"63.nice-2",63,54,1,1,1,15,"a.Nice","b.Kismet",FALSE
"64.nice-2",64,35,1,3,1,80,"a.Nice","b.Kismet",FALSE
"65.nice-2",65,35,1,3,2,40,"a.Nice","b.Kismet",FALSE
"66.nice-2",66,10,0,5,1,100,"a.Nice","b.Kismet",TRUE
"68.nice-2",68,35,0,3,2,100,"a.Nice","b.Kismet",FALSE
"71.nice-2",71,35,0,1,2,75,"a.Nice","b.Kismet",FALSE
"72.nice-2",72,50,0,3,2,50,"a.Nice","b.Kismet",FALSE
"73.nice-2",73,43,0,1,2,75,"a.Nice","b.Kismet",FALSE
