ID,RSEX,KIDBORN,IDENTITY,LONGILL,LIVEWITH,HOUSTYP,HAPPYSCH,PUPBULL,UBULLPHY,UBULLOTH,UBULLSMS,TALENTS,DECISION,RESOLVE,DEVHEAL,GETONWEL,CRITICAL,CREATIVE,DEALCHL,VALUED,MAFEEQ,MAFAIR,MAHARSH,SCHACTIV,RESPECT,KY10INGH,KY10IN01,KY10IN02,KY10IN03,KY10IN04,KY10IN05,KY10IN06,KY10IN07,KY10IN08,KY10IN09,KY10IN10,KYFINAN,AUTKNOW,Autismp1,Autismp2,Autismp3,Autismp4,autismp5,autismp6,autismnoone,autismdontknow,AUTDIFF,AUTGOOD,AUTNXTDR,AUTCLASS,AUTXHELP,AUTBULL,AUTBULLU,AGMORESP,AGLERESP,AGADMIR,AGLISTEN,AGNOMIX,AGMIX,AGMOVE,AGGENER,AGMEMOR,AGLIVE,KC10IN_T,SCHOOLLOC
1,2,3,6,2,1,3,1,4,3,3,2,1,1,2,1,2,1,1,1,1,1, , , ,1,1,4,4,5,5, ,4,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.2206196736218, 
2,2,1,1,2,1,1,1,2,3,2,2,1,6,1,4,1,6,1,2,6,3,5,1,1,1,3,4,4,4,5,5, ,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,62.3354324462888, 
3,1,1,2,2,1,1,1,2,2,4,2,2,2,2,1,2,2,3,1,4,3,5,5,5,1,2,4,5,3,3,1,2,5,3,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,42.2729427242036, 
4,2,1,2,2,1,1,2,3,3,2,1,1,1,2,2,1,2,1,1,3,2,4,1,2,3,3,2,5,4,4,2,2,4,3,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,40.2415430898556, 
5,1,1,7,2,1,2,1,2,2,3,1,4,2,3,1,4,6,2,1,2,1, , , ,6,2,1,4,4,3,1,3,4,4,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,38.3358967662053, 
6,1,2,5,2,4,1,1,2,3,3,2,1,2,1,1,2,1,1,1,1,1, , , ,1,1,5,5,4,5,3,5,5,5,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,57.2859533551951, 
7,1,2,3,1,1,1,1,1,1,1,2,3,1,5,2,1,3,1,2,5,3,5,1,4,5,1,5,5,2,1,3,5,5,1,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,44.4784623272101, 
8,2,2,6,1,1,1,2,1,1,1,2,2,2,4,3,5,3,1,2,5,4, , , ,3,3,3,4,2,2,2,2,5,2,3,5,3,2, , , , , , ,1, ,1,3,2,2,3,3,2,4,1,3,4,4,1,2,1,3,2,37.4169302649526, 
9,2,1,2,2,2,1,1,2,3,3,2,2,2,2,2,2,2,2,3,2,1, , , ,2,2,3,4,4,5,4,4,5,5,4,3,4,1, , ,1, , , , , ,1,1,2,1,4,2,2,4,5,1,4,3,2,3,1,2,2,49.7601013765151, 
10,1,1,1,2,1,2,1,2,2,4,2,1,1,1,1,1,1,1,1,1,1, , , ,1,1,5,5,4,4,2,3,5,5,5,4,4,1, , , ,1, , , , ,1,1,1,1,3,1,2,3,2,4,4,3,1,3,1,1,1,51.3562010892171,2
11,1,2,4,2,1,3,3,2,2,2,2,3,5,5, ,3,4,2,3,5,2,4,1,1,4,3,1,2,2,4,1,1,2,2,3,4,1,2, , , , , , ,1, ,3,3,1,3,1,1,2,3,1,2,4,3,2,3,2,4,2,29.9684649390096,2
12,1,1,4,2,1,1,3,2,4,2,2,1,2,3,3,2,2,3,3,3,4, , , ,2,2,4,3,1,4,2,3,4,4,4,2,4,1, ,1, , , , , , ,1,3,2,2,3,1,2,3,3,2,1,1,2,3,5,3,3,38.3358967662053,2
13,1,1,1,3,3,1,1,2,1,1,1,2,2,1,1,2,2,1,3,3,1, , , ,1,3,2,4,2,3,2,3,5,3,3,3,2,2,1, , , , , , , ,2,2,2,1,3,1,3,4,2,1,3,2,3,3,2,3,4,37.4169302649526,2
14,2,1,1,1,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1, , , ,2,1,5,5,3,5,2,5,5,5,5,5,5,1, , , , , ,1, , ,1,1,1,1,3,1,2,3,1,1,4,3,1,5,1,1,2,57.2859533551951,2
15,1,1,1,2,1,2,3,2,2,2,1,2,3,3,1,3,4,6,1,5,2,4,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,2, ,1,1, , , , , ,1,1,3,2,1,1,2,4,2,2,1,3,3,3,5,3,2,35.5983439256314,2
16,1,1,2,2,1,1,1,2,3,3,2,1,1,2,1,2,1,1,1,2,1, , , ,1,1,1,5,4,4,3,4,5,5,4,4,4,1, , , , ,1, , , ,1,3,2,2,3,1,2,3,2,1,4,3,2,4,1,3,4,46.9354885516121,2
17,1,1,3,1,1,3,3,2,4,2,3,3,3,4,3,3,3,4,2,2,3,4,1,2,3,3,4,4,2,4,1,3,3,3,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,38.3358967662053,2
18,1,1,1,2,1,2,1,4,3,3,2,1,2,6,2,2,2,2,2,1,2,5,1,2,2,1,5,4,4,4,4,4,4,5,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,2
19,2,1,1,2,1,1,1,4,3,3,2,2,2,2,2,2,2,1,2,3,2,4,2,2,2,2,3,4,4,4,3,3,5,5,5,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,49.7601013765151,2
20,1,1,1,2,1,2,1,2,3,3,3,2,2,3,2,2,2,2,3,6,2,5,1,2,2,1,5,4,4,4,3,4, ,5,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,49.7117347185544,2
21,1,1,4,3,1,5,1,4,2,2,1,2,2,2,1,1,2,1,2,4,3,5,1,2,2, ,2, ,4,5,2,2,2, ,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
22,1,1,4,2,2,2,1,4,2,2,3,1,2,3,2,3,2,3,3,1,2,3,2,1,1,2,5,4,4,4,4,4,4,5,5,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,2
23,2,1,1,2,1,2,1,2,3,3,2,3,3,2,3,2,2,4,2,2,2,3,4,1,2,1,3,3,4,4,2,2,5,5,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,44.4784623272101,2
24,1,1,1,2,1,1,1,2,3,3,2,1,1,1,2,2,1,1,2,2,2,3,1,1,1,1,5,5,4,5,4,4,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,62.9351790050011,2
25,2,1,2,2,1,1,3,2,2,2,2,1,2,6,2,2,1,1,2,2,2,2,2,1,1,3,2,3,4,4,3,5,4,3,3,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,2
26,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,4,4,2,1,1,4,4,4,4,3,4,4,4,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,2
27,2,1,1,2,4,3,1,1,2,4,1,1,2,3,2,2,3,2,3,2,2,3,3,1,2,3,3,4,3,4,4,5,5,3,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,2
28,1,1,3,2,1,2,1,2,3,2,2,2,1,6,6,2,2,1,3,3,1, , , ,1,2,5,4,4,5,5,4,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,2
29,2,1,4,2,1,2,3,1,2,2,1,2,4,2,1,1,5,1,2,4,2,1,2,3,1,2,3,5,2,3,3,2,5,2,4,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,39.2838832622343,2
30,1,1,3,2,2,3,1,2,3,2,2,1,2,6,1,1,2,2,3,3,1, , , ,1,1,1,5,5,5,4,5,5,5,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.0707604205965,2
31,1,1,1, ,1,1,1,4,3,3,2,2,3,2,1,2,1,1,2,3,4, , , ,1,1,4,2,4,4,3,3,5,5,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,2
32,1,1,1,2,1,2,1,1,2,1,2,1,2,2,3,3,1,1,1,4,2,3,3,1,1,2,3, ,2,3,2,3,3,1, ,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
33,1,1,1,2,3,2,1,2,3,2,2,1,1,2,2,1,2,2,1,2,2,3,3,1,1,1,5,5,5,5,5,5,5,5,3,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,2
34,2,1,1,2,2,1,1,2,3,3,2,1,1,2,2,6,1,1,1,1,2,4,2,1,1,2,5,5,2,3,5,5,5,5,2,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,51.3562010892171,2
35,2,1,1,2,1,2,1,3,3,3,2,1,1,1,2,1,1,1,3,3,1, , , ,2,2,2,3,4,5,3,3,5,5,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,2
36,2,1,1,1,1,2,1,2,2,4,2,1,2,2,3,2,1,2,2,1,2,2,4,1,2,3,3,3,5,5,4,3,4,5,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,49.7601013765151,2
37,2,1,4,2,2,1,1,2,2,2,2,2,2,4,4,2,2,2,1,6,3,2,2,2,2,3,2,3,4,4,2,2,2,4,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,37.4169302649526,2
38,2,1,4,2,1,1,1,1,1,1,1,1,3,4,4,6,6,2,3,3,2,2,4,1,2,4,3,5,5,5,4,5,5,5,3,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,2
39,1,1, ,2,1,1,1,1,3,3,2,2,4,4,4,4,4,2,2,4,2,5,5,2,2,1,4,5,4,5,2,2,5,4,2,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,2
40,1,1,2,3,1,3,1,4,3,3,2,6,5,5,4,3,2,2,2,5,2,3,3,1,3,4,5,5,5,5,5,5,5,3,5,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,2
41,2,1,1,2,3,2,1,3,3,3,2,3,4,3,2,3,4,4,2,2,2,4,4,3,2,1,5,4,5,5,4,2,5,5,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,51.3562010892171,2
42,1,1,2,2,3,2,3,2,3,3,2,2,3,1,2,3,1,4,1,6,4, , , ,2,2,4,5,4,4,2,2,5,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,41.2378962438453,2
43,2,1,1,2,2,3,1,2,2,2,2,1,6,2,3,2,3,1,1,3,2,4,5,4,2,1,4,4,4,4,3,3,4,4,3,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,42.2729427242036,2
44,2,1,1,2,1,1,1,2,3,4,2,2,3,3,3,2,2,1,2,2,2,4,4,2,2,1,4,3,4,4,2,3,4,5,4,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,2
45,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1, , , ,2,2,4,3,3,3,3,4,4,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,2
46,2,1,1,2,1,2,1,4,3,3,2,2,1,1,1,2,2,1,3,2,2,3,3,2,1,1,1,3,5,5,3,2,5,3,2,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,40.2415430898556,2
47,2,1,1,2,2,2,1,2,1,3,2,2,2,2,2,1,1,1,1,1,2,5,3,2,2,3,4,5,4,4,1,2,3,5,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,2
48,2,1,4,2,1,1,1,2,2,3,2,2,3,2,3,2,2,2,2,3,2,3,3,2,2,2,4,4,4,4,3,4,5,4,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,2
49,2,1,1,3,2,2,1,1,2,1,1,1,6,4,3,2,1,1,1,3,3,5,1,1,3,3,3,4,3,4,1,1,3,5,4,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,40.2415430898556,2
50,2,1,1,2,1,1,1,2,3,2,2,2,2,2,4,1,2,2,3,4,2,3,5,1,3,3,2,4,2,2,2,3,5,2,5,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,38.3358967662053,2
51,1,1,3,2,1,1,1,2,3,3,2,2,4,2,4,3,4,5,2,5,1, , , ,2,3,2,2,4,5,3,2,5,5,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,2
52,1,1,2, ,1,1,1,3,3,3,2,1,1,2,3,2,1,2,2,2,1, , , ,1,2,4,5,4,5,4,3,5,5,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,2
53,1,1,3,2,1,2,1,2,3,3,2,2,2,3,1,3,2,2,1,2,2,3,2,3,2,1,4,3,4,5,4,3,5,5,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,49.7601013765151,2
54,1,1,2,2,1,3,1,4,3,3,2,1,2,2,2,1,1,2,1,2,2,3,2,2,2,1,4,4,4,5,4,3,5,5,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,51.3562010892171,2
55,1,3,5,2,1,4,2,2,3,2,2,1,2,1,2,2,1,2,2,3,2,3,2,1,1,2,3,4,4,4,3,3,5,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6682821130426,2
56,2,1,1,2,1,1,1,2,3,1,2,1,2,1,1,1,1,2,1,1,1, , , ,1,1,5,5,3,3,4,4,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,2
57,1,1,2,2,1,2,1,2,2,2,3,2,1,2,3,3,1,5,3,3,2,4,3,4,1,1,4,5,3,4,3,2,5,3,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,44.4784623272101,2
58,2,1,4,2,1,2,1,4,2,2,2,1,2,2,2,2,2,1,3,1,1, , , ,1,1,5,5,4,5,5,5,5,5,5,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,72.4924306180291,2
59,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,3,6,1, , , ,2,2,4,4,3,3,3,4,4,4,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,43.3466825309305,2
60,1,1,1,3,2,2,3,2,1,3,2,2,4,3,3,3,1,1,3,5,1, , , ,3,4,3,5,4,5,4,5,5,4,2,2,1,2, , , , , , ,1, ,1,3,1,1,3,2,2,3,2,5,4,4,1,3,1,2,1,46.9354885516121,2
61,1,1,3,2,1,2,1,2,3,3,2,2,2,1,2,1,1,1,2,2,2,4,2,2,1,2,4,4,4,5,4,4,5,5,4,4,5,1, , , , , , ,1, ,1, ,1,2,3,2,2,4,5,3,4,2,1,3,1,3,1,53.1070741073933,2
62,1,1,1,2,1,2,3,2,4,4,2,3,3,6,3,2,2,3,3,5,1, , , ,1,2,4,4,5,5,5,4,5,4,5,4,4,1, , , , , , ,1, ,1,3,2,2,3,2,2,4,2,2,5,3,5,5,2,5,3,57.2859533551951,2
63,1,1,5,2,1,3,1,2,3,3,2,2,1,3,4,2,2,2,1,2,4, , , ,1,2,4,5,4,5,4,4,3,4,5,4,5,2, , , , , , ,1, ,1,1,4,2,3,2,2,3,2,2,2,3,5,3,1,2,2,51.3562010892171,2
64,2,1,1,2,1,2,1,2,2,3,2,1,2,2,1,2,1,1,2,2,2,4,6,2,1,3,3,4,4,4,2,1,5,4,4,5,3,1, , , , , , ,1, ,1,1,1,1,3,2,2,4,1,3,4,2,2,2,1,3,1,43.3466825309305,2
65,1,1,1,1,1,1,3,2,3,3,2,3,6,6,6,6,6,3,3,3,2,6,3,1,2,3,3,5,5,5,4,4,5,5,5,4,4,2, , , , , , , ,1,3,3,4,4,3,3,2,3,5,2,3,5,5,3,1,3,1,57.2859533551951,2
66,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,3,1, , , ,1,2,4,3,4,5,3,4,5,3,4,5,5,1, , , , , , ,1, ,3,3,4,4,3,2,2,3,5,2,3,3,2,5,1,3,3,48.2897549745108,2
67,2,1,4,2,1,2,1,2,3,3,2,2,3,5,3,2,1,1,2,3,2,3,2,3,1,2,4,5,4,4,4,4,4,4,5,5,5,1, , , , , , , ,1,1,1,2,1,3,2,2,3,2,2,2,3,2,3,1,3,1,53.1070741073933,2
68,2,1,4,1,4,2,1,4,3,3,2,1,2,2,1,1,2,1,3,1,1, , , ,2,1,5,5,4,5,5,5,5,5,5,1,2,1, , , , , , , ,1,3,3,1,1,3,2,2,1,5,1,4,5,5,5,1,3,3,57.2859533551951,2
69,2,1,4,2,1,2,1,2,3,3,2,1,6,5,4,2,1,5,2,1,2,3,4,1,1,1,5,4,4,5,4,4,5,5,5,5,5,1, , ,1, , , , , ,1,3,2,2,3,2,2,3,1,1,4,1,1,1,1,2,1,59.8493862271105,2
70,1,2,4,2,1,1,2,2,1,1,2,5,4,5,4,5,3,2,2,5,3,5,1,5, ,5,2,3,2,1,1,2,3,2,2,1,2,1, , ,1, , , , ,1,3,3,2,2,3,1, ,3,2,4,4,1,1,4,3,4,4,26.6408388713157,2
71,2,1,4,2,1,1,1,3,3,3,2,2,2,3,2,1,2,1,1,2,2,4,4,3,2,2,2,4,3,4,3,4,5,5,4,4,4,2, , , , , , ,1, ,2,2,2,2,3,2,2,3,2,5,4,3,1,3,1,3,2,45.6682821130426,2
72,2,1,2,2,1,1,1,4,3,2,2,2,3,2,1,3,2,2,3,2,1, , , ,2,1,4,4,4,4,5,4,5,4,5,5,4,2, , , , , , , ,1,3,3,3,2,3,3,2,4,2,2,2,4,2,3,1,2,3,55.0707604205965,2
73,2,1,2,1,1,1,3,4,2,2,2,1,2,2,3,3,2,2,2,3,2,5,2,2,2,3,3,3,3,4,3,3,5,3,4,3,4,1, ,1,1, , , , , ,1,1,2,2,3,3,2,3,2,3,3,2,2,3,1,4,3,41.2378962438453,2
74,2,1,1,2,1,2,3,4,3,3,2,2,2,1,2,1,2,1,3,3,2,5,2,2,2,3,3,4,4,5,4,4,5,5,4,5,4,1, , , , ,1, , , ,1,3,4,1,3,2,2,3,2,1,4,5,5,2,1,2,1,53.1070741073933,2
75,2,2,1,2,2,2,1,3,3,3,2,1,1,1,1,1,1,1,2,1,2,5,2,1,1,2,5,5,4,5,4,5,5,5,5,4,4,1, , , , , ,1, , ,1,1,1,1,3,2,2,3,2,1,4,1,1,3,1,2,3,62.9351790050011,2
76,1,1,4,2,1,3,1,3,3,3,2,1,2,2,2,1,6,1,3,1,1, , , ,2,3,4,4,4,4,4,4,5,5,4,3,4,1, , , , , , ,1, ,1,2,2,1,3,2,2,3,1,3,1,4,2,3,2,3,2,49.7601013765151,2
77,1,1,2,3,1,2,1,2,3,3,2,3,4,4,4,4,4,6,3,1,1, , , ,2,1,5,5,5,5,5,5,5, ,5,5,5,1, , , , , , ,1, ,3,3,1,1,3,2,2,3,2,1,4,3,5,3,1,3,5,82.978322063902,2
78,1,1,1,2,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,5,5,5,5,5, ,5,5,5,5,5,1, , , , , , , ,1,3,3, ,4,3,2,2,3,2,1,1,1,1,5,1,3,3,83.4232953171402,2
79,2,1,1,2,1,1,1,3,3,3,2,2,3,3,3,2,1,1,3,3,2,4,4,1,2,1,3,5,4,5,2,3,4,4,5,2,2,1, , , , , , , ,1,3,3,2,1,4,2,2,3,2,1,4,2,1,3,1,2,1,44.4784623272101,2
80,2,1,1,2,1,3,3,4,3,2,1,3,3,4,5,3,2,2,3,5,2,1,1,1,5,3,1,4,2,2,2,5,5,4,3,3, ,1, , , ,1, ,1, , , , ,1,1,4,1,2,3,2,2,1,2,2,2,1,3,2,38.3358967662053,2
81,2,1,1,3,1,1,3,4,4,2,2,1,3,2,3,1,2,1,1,3,2,6,1,2,2,1,2,4,4,4,3,4,5,5,5,5, ,1, , , , , , , ,1,1,3,2,2,3,3,2,5,5,3,4,5,1,3,1,3,2,49.7601013765151,2
82,1,1,1,1,1,1,1,3,3,3,2,1,1,1,2,1,1,1,3,1,1, , , ,1,2,3,4,4,5,4,4,5,5,5,4,4,1, , , , , , ,1, ,3,3,2,2,3,2,2,1,2,1,4,4,1,2,2,3,1,53.1070741073933,2
83,1,1,2,2,2,3,1,4,3,2,2,2,2,2,2,2,2,2,3,2,2,5,6,3,2,2,5,3,3,5, ,3,5,5,4,5,4,2, , , , , , ,1, ,3,3,4,4,3,2,2,5,5,5,4,4,5,5,1,1,5,52.2945142536541,2
84,2,1,4,2,1,1,1,2,2,2,2,2,3,3,3,3,6,2,2,4,2,4,4,3,2,3,3,3,4,4,3,2,4,4,4,4,2,1, , , , ,1, , , ,1,3,1,2,3,2,2,4,3,2,4,3,1,3,1,3,1,42.2729427242036,2
85,1,1,1,3,1,3,3,1,3,3,2,2,3,4,3,4,2,2,3,3,4, , , ,2,4,3,3,4,5,4,3,5,5,3,3,5,1, , , , , , , ,1,3,3,4,4,3,2,2,5,5,5,5,5,5,2,2,3,5,45.6682821130426,2
86,2,1,1,2,1,1,1,2,2,3,1,3,2,2,2,1,1,1,1,2,2,4,3,2,2,2,3,5,4,5,2,4,5,5,5,3,4,1, , , , ,1, , , ,1,1,2,2,2,2,2,1,3,2,4,2,1,3,1,3,1,49.7601013765151,2
87,1,1,4,2,1,1,1,2,2,2,2,2,1,3,1,1,2,2,1,1,1, , , ,1,1,4,4,4,4,3,3,5,5,4,3,4,1, , , , , , , ,1,1,2,2,3,3,2,2,4,2,3,2,2,3,3,2,3,2,46.9354885516121,2
89,1,1,2,1,1,2,1,2,2,3,2,1,2,3,1,3,2,1,3,4,3,3,2,5,1,3,3,2,4,4,3,2,5,2,2,4,3,2, , ,1, , , , , , ,3,2,1,3,2,2,3,2,2,1,1,4,3,1,3,2,38.3358967662053,2
90,1,1,1,2,3,2,1,2,2,2,2,2,3,3,2,2,1,3,3,4,1, , , ,1,2,4,5,4,5,4,4,5,5,4,3,4,2, , , , , , , ,1,1,1,1,1,3,2,2,5,1,2,4,2,2,3,1,3,2,53.1070741073933,2
91,1,1,4,2,1,2,3,2,2,3,2,1,2,2,2,1,1,2,2,3,2,5,4,2,1,1,5,5,4,5,2,2,2,5,5,5,3,1, , ,1, , , , , ,1, ,2,2,3,1,2,3,1,1,4,4,1,4,1,1,1,48.2897549745108,2
92,1,1,1,2,1,2,1,2,3,3,2,1,2,2,2,1,1,2,3,2,1, , , ,1,2,4,4,4,5,3,3,5,5,4,5,4,2, , , , , , , ,1,3,3,2,1,3,2,2,1,2,1,4,3,2,5,2,2,2,51.3562010892171,2
93,1,1,1,2,1,3,1,2,4,3,2, ,6,6,2,2,2,2,2,2,1, , , ,6,3,5,5,5,5,3,4,5,5,4,5,5,2, , ,1, , , , , ,3,3,1,1, ,1,2,3,5,2,5,5,5,5,5,5,5,59.8493862271105,2
94,1,1,4,1, ,2,3,2,3,2,2,3,1,4,2,3,2,3,3,5,2,3,1,1,3,4,3,2,3,5,1,3,4,5,2,3,2,2, , , , , , , ,1,3,3,4,4, ,1,2,3,2,1,2,3,5,4,5,2,1,38.3358967662053,2
95,2,1,4,2,1,2,1,3,3,3,2,2,2, ,2,1,2,1,2,2,2,2,1,1,2,2,5,3, ,5,1,3,5,5,2,4,1,1, , , , , , , ,1,3,3,1,1,4,1,2,1,5,1,5,5,5,5,1,1,5,44.1882623794461,2
96,2,1,2,1,3,2,3,4,2,1,1,3,6,6,3,6,2,3,3,3,1, , , ,1,4,2,2,2,3,3,2,5,5,3,3,4,1,1, ,1, , , , , ,1,3,1,1,3,1,2,3,1,2,5,5,1,4,1,4,3,37.4169302649526,2
97,2,1,1,2,1,3,1,3,3,3,2,2,2,6,1,2,4,2,1,4,1, , , ,2,2,3,3,2,4,3,4,5,4,4,5,5,1, , , , , ,1, , ,3,3,2,2,3,1,2,1,5,4,5,4,1,3,1,3,2,44.4784623272101,2
98,1,1,1,3,1,3,1,2,3,3,2,1,1,2,3,2,2,2,1,2,1, , , ,4,2,5,5,4,5,4,5,5,5,5,5,5,1, ,1, , , , , , ,1,3,1,1,3,1,2,1,2,1,4,5,1,5,1,5,5,66.8625516314074,2
99,1,1,6,2,3,3,2,2,2,2,2,4,3,4,2,3,3,2,2,4,2,5,2,3,3,1,5,4,4,2,2,2,2,5,2,2,3,1, ,1, , , , , , ,1,3,1,1,1,1,1,3,2,2,4,3,3,2,3,3,3,37.4169302649526,2
100,2,1,1,3,2,3,3,4,2,2,2,2,2,4,2,2,3,1, ,2,2,2,3,1,1,4,1,4,1,4,3,3,5,5,2,3,3,1, ,1, , , , , , ,1,3,1,1,3,1,2,1,4,4,3,2,5,5,1,1,1,38.3358967662053,2
101,2,1,1,2,1,2,1,2,3,3,2,1,2,6,1,2,1,1,2,1,1, , , ,1,1,5,5,4,5,2,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,59.8493862271105,2
102,1,1,1,2,1,2,1,4,3,2,2,2,3,4,2,2,4,4,2,2,2,4,2,1,1,2,4,5,3,5,3,3,4,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,46.9354885516121,2
103,1,1,1,1,2,3, ,3,3,3,2,1,1,3,1,1,2,1,2, ,1, , , ,1,3,3,2,4,5,5,5,5,5,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,2
104,1,1,1,2,1,2,1,3,3,3,2,1,1,4,2,1,1,1,2,1,1, , , ,1,2,5,5,4,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,72.4924306180291,2
105,1,1,1,2,1,3,1,2,3,3,1,6,1,4,1,5,5,2,3,2, ,1,1,2,3,2,1,5,5,5, ,1,2,2,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,33.6443309440204,2
106, ,2,1,2,1, ,1, ,2,3,2,2,1,1,2,5, ,1,2,3,2,2,3,2,3,2, ,5,5,4,4,5, ,1,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
107,1,2,1,2,2,4,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1, , , ,2,3,4,4,5,5,4,5,5,5,4,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.0707604205965,2
108,1,1,4,2,1,2,3,2,3,3,2,3,2,2,3,2,2,2, ,2,2,2,2,2,2,2,4,4,4,5,4,4,5,5,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,2
109,1,1,4,3,1,1,1,4,3,3,2,2,2,2,2,2,6,2,2,2,1, , , ,2,1,4,5,5,5,5,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.0707604205965,2
110,1,1,1,1,3,3,1,4,3,3,2,2,1,2,2,2,2,2,3,2,2,2,6,5,2,4,3,2,4,4,4,5,5,5,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,48.2897549745108,2
111,1,1,2,3,1,3,1,2,3,3,2,3,3,3,4,4,4,2,2,2,2, ,6,6, ,4,2,2,5,5,3, , ,5,3,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
112,2,1,7,2,1,3,3,2,1,1,2,2,3,3,1,1,1,1,3,5,1, , , ,2,4,1,1,2,3,5,4,5,4,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,37.4169302649526,2
113,2,1,1,2,4,1,3,2,4, ,2,1,1,1,1,1,1,1,2,1,1, , , ,1,1,1,3,3,3,3,1,5,5,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,37.4169302649526,2
