ID,RSEX,KIDBORN,IDENTITY,LONGILL,LIVEWITH,HOUSTYP,HAPPYSCH,PUPBULL,UBULLPHY,UBULLOTH,UBULLSMS,TALENTS,DECISION,RESOLVE,DEVHEAL,GETONWEL,CRITICAL,CREATIVE,DEALCHL,VALUED,MAFEEQ,MAFAIR,MAHARSH,SCHACTIV,RESPECT,KY10INGH,KY10IN01,KY10IN02,KY10IN03,KY10IN04,KY10IN05,KY10IN06,KY10IN07,KY10IN08,KY10IN09,KY10IN10,KYFINAN,AUTKNOW,Autismp1,Autismp2,Autismp3,Autismp4,autismp5,autismp6,autismnoone,autismdontknow,AUTDIFF,AUTGOOD,AUTNXTDR,AUTCLASS,AUTXHELP,AUTBULL,AUTBULLU,AGMORESP,AGLERESP,AGADMIR,AGLISTEN,AGNOMIX,AGMIX,AGMOVE,AGGENER,AGMEMOR,AGLIVE,KC10IN_T,SCHOOLLOC
2322,2,1,1,1,2,3,1,3,3,3,2,2,2,2,1,2,1,1,1,2,2,5,5,5,1,2,5,3,4,5,3,3,5,5,4,4,5,1, , ,1,1, , , , ,1,1,1,1,3,2,2,4,2,3,4,4,2,3,1,3,2,49.7601013765151,2
2323,2,1,1,1,1,2,1,4,3,3,2,2,2,2,3,2,2,2,1,1,2,5,5,2,1,1,4,5,4,5,3,5,5,5,5,5,3,2, , , , , , , ,1,3,3,4,4,3,2,2,5,5,1,5,5,1,3,2,3,2,59.8493862271105,2
2324,2,1,1,2,1,1,2,2,3,3,2,2,4,1,3,3,3, ,2,4,3,1,1,3,3, ,2, ,3, ,4, ,4, ,4,5,4,1, , , , ,1, , , ,2,2,1,1,3, ,2,4,5,1,3,4,1,4,1,3,1, ,1
2325,1,1,1,2,1,1,1,4,3,3,2,2,2,3,2,2,2,2,2,6,1, , , ,2,1,5,4,5,5,3,3,5,5,5,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,53.1070741073933,1
2326,2,1,1,2,1,1,1,4,3,3,2,2,1,1,1,1,1,1,3,2,1, , , ,2,1,5,4,4,5,3,4,5,5,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.0707604205965,1
2327,1,1,3,2,1,1,3,4,2,2,2,2,6,2,2,2,2,2,1,6,2,4,2,2,2,2,4,3,4,3,5,3,5,5,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,46.9354885516121,1
2328,2,1,1,2,1,1,1,4,3,3,2,2,2,2,1,6,2,2,3,3,2,4,6,1,2,1,5,4,5,5,5,4,5,5,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,62.9351790050011,1
2329,1,1,3,2,1,1,1,3,3,3,1,2,1,2,2,1,3,2,3,1,2,4,1,4,1,1,4,5,5,4,5,1,5,5,5,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,55.0707604205965,1
2330,1,1,3,2,1,1,3,4,3,3,2,2,3,6,2,1,3,1,3,3,1, , , ,2,4,4,4,4,5,3,5,5,5,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,51.3562010892171,1
2331,1,1,1,2,1,1,3,2,2,2,2,2,3,2,2,2,6,2,3,3,3,4,2,3,2,2,4,5,4,5,2,2,4,3,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,41.2378962438453,1
2332,2,1,3,2,1,1,3,2,3,3,2,2,1,3,2,6,2,2,3,2,2,2,4,2,1,1,5,5,5,5,5,4,5,5,5,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,72.4924306180291,1
