"","id","sex","age","video.game.hrs.wk","own.robot","robot","vas","male","child"
"30.e.Fashion.Doll",30,"M",48,0,"N","e.Fashion.Doll",8,1,FALSE
"31.e.Fashion.Doll",31,"F",41,0,"N","e.Fashion.Doll",54,0,FALSE
"32.e.Fashion.Doll",32,"M",44,0,"N","e.Fashion.Doll",-29,1,FALSE
"34.e.Fashion.Doll",34,"M",46,0,"N","e.Fashion.Doll",12,1,FALSE
"35.e.Fashion.Doll",35,"F",52,0,"N","e.Fashion.Doll",-12,0,FALSE
"36.e.Fashion.Doll",36,"F",43,0,"N","e.Fashion.Doll",32,0,FALSE
"38.e.Fashion.Doll",38,"F",69,0,"N","e.Fashion.Doll",-22,0,FALSE
"39.e.Fashion.Doll",39,"M",76,0,"N","e.Fashion.Doll",26,1,FALSE
"41.e.Fashion.Doll",41,"M",33,0.5,"N","e.Fashion.Doll",-11,1,FALSE
"42.e.Fashion.Doll",42,"M",14,12,"N","e.Fashion.Doll",42,1,TRUE
"44.e.Fashion.Doll",44,"F",46,0,"N","e.Fashion.Doll",-65,0,FALSE
"45.e.Fashion.Doll",45,"F",46,0,"N","e.Fashion.Doll",21,0,FALSE
"46.e.Fashion.Doll",46,"F",12,0,"N","e.Fashion.Doll",51,0,TRUE
"47.e.Fashion.Doll",47,"M",54,0,"N","e.Fashion.Doll",2,1,FALSE
"48.e.Fashion.Doll",48,"F",47,0,"N","e.Fashion.Doll",-18,0,FALSE
"50.e.Fashion.Doll",50,"M",14,10,"N","e.Fashion.Doll",-29,1,TRUE
"51.e.Fashion.Doll",51,"M",11,1,"N","e.Fashion.Doll",-36,1,TRUE
"52.e.Fashion.Doll",52,"F",13,3,"N","e.Fashion.Doll",-14,0,TRUE
"2.e.Fashion.Doll",2,"F",52,0,"Y","e.Fashion.Doll",2,0,FALSE
"11.e.Fashion.Doll",11,"F",13,0,"Y","e.Fashion.Doll",75,0,TRUE
"12.e.Fashion.Doll",12,"M",48,0,"Y","e.Fashion.Doll",51,1,FALSE
"13.e.Fashion.Doll",13,"F",32,0,"Y","e.Fashion.Doll",61,0,FALSE
"14.e.Fashion.Doll",14,"F",51,0,"Y","e.Fashion.Doll",11,0,FALSE
"15.e.Fashion.Doll",15,"M",14,2,"Y","e.Fashion.Doll",-22,1,TRUE
"16.e.Fashion.Doll",16,"F",50,0,"Y","e.Fashion.Doll",-1,0,FALSE
"17.e.Fashion.Doll",17,"F",44,0,"Y","e.Fashion.Doll",18,0,FALSE
"22.e.Fashion.Doll",22,"F",33,0,"Y","e.Fashion.Doll",64,0,FALSE
"23.e.Fashion.Doll",23,"F",13,0,"Y","e.Fashion.Doll",10,0,TRUE
"27.e.Fashion.Doll",27,"M",12,10,"Y","e.Fashion.Doll",0,1,TRUE
"28.e.Fashion.Doll",28,"M",44,0.25,"Y","e.Fashion.Doll",40,1,FALSE
"33.e.Fashion.Doll",33,"F",48,0,"Y","e.Fashion.Doll",-7,0,FALSE
"37.e.Fashion.Doll",37,"F",52,0.5,"Y","e.Fashion.Doll",13,0,FALSE
"40.e.Fashion.Doll",40,"F",54,0,"Y","e.Fashion.Doll",14,0,FALSE
"43.e.Fashion.Doll",43,"M",10,16,"Y","e.Fashion.Doll",9,1,TRUE
"49.e.Fashion.Doll",49,"F",11,5,"Y","e.Fashion.Doll",-37,0,TRUE
"1.b.Kismet",1,"M",39,0,"N","b.Kismet",-44,1,FALSE
