"","Duration","Age","Gender","gen_comf","gen_masc","gen_fem","gen_stab","sex_str","sex_freq","sex_pref","rom_str","rom_freq","rom_pref"
"265",202,22,"Female",9,3,7,8,8,7,7,8,8,8
"266",101,20,"Female",8,1,9,9,9,6,9,9,6,9
"267",352,20,"Female",9,3,7,9,7,5,6,8,6,6
"268",107,19,"Female",9,3,6,9,4,3,8,2,1,9
"269",163,19,"Female",5,6,6,2,4,3,3,5,2,2
"270",121,20,"Female",9,3,7,9,7,6,8,6,6,9
"271",304,19,"Female",9,5,6,8,4,4,9,3,4,9
"272",94,20,"Female",9,3,6,9,8,7,9,8,7,9
"273",170,19,"Male",9,9,1,9,9,8,1,8,7,1
"274",862,21,"Female",9,3,6,9,6,5,8,4,3,7
"275",220,19,"Female",7,4,5,7,9,9,6,7,8,5
"276",109,19,"Female",9,2,7,9,8,6,8,9,8,9
"277",178,19,"Female",9,4,7,9,8,7,8,9,6,9
"278",356,21,"Female",9,5,5,9,9,2,7,9,4,7
"279",148,20,"Female",9,4,5,8,7,6,7,8,7,8
"280",113,20,"Female",9,6,5,9,8,6,7,9,6,5
"281",124,19,"Female",9,2,6,9,5,4,8,3,2,8
"282",189,20,"Female",9,2,8,9,9,2,9,9,2,9
"283",141,21,"Male",9,7,3,8,7,5,2,8,5,3
"284",232,21,"Female",9,2,8,9,7,3,5,9,7,5
"285",248,18,"Female",9,3,6,9,9,9,7,8,6,9
"286",128,18,"Male",9,4,6,5,8,9,9,9,9,9
"287",325,18,"Other",3,7,6,1,1,4,3,9,3,5
"288",150,18,"Female",9,5,6,7,1,1,NA,3,2,6
"289",144,20,"Female",9,3,7,9,9,6,8,9,9,7
"290",125,21,NA,9,3,7,9,9,7,7,9,7,7
"291",79,20,"Female",9,3,7,8,8,7,9,5,6,9
"292",104,18,"Female",9,3,6,8,7,8,3,7,5,6
"293",127,19,"Female",9,5,6,9,8,9,9,7,6,9
"294",90,21,"Female",9,1,9,1,9,5,9,9,5,9
"295",81,22,"Female",9,1,9,9,9,7,8,9,7,8
"296",178,19,"Female",9,2,5,8,8,8,6,8,8,8
"297",174,20,"Female",9,3,6,9,8,6,8,6,5,9
"298",140,19,"Female",9,2,8,9,9,7,9,8,8,7
"299",245,20,"Female",9,3,7,9,8,7,8,9,7,9
"300",122,19,"Female",9,4,8,9,7,7,8,9,4,8
"301",79,18,"Male",9,7,5,8,9,9,8,9,7,9
"302",131,20,"Male",9,6,4,9,9,8,9,9,7,7
"303",76,19,"Female",8,3,7,7,9,9,5,9,9,3
"304",186,50,"Female",9,2,7,7,9,6,9,7,5,9
"305",100,49,"Female",8,1,9,9,9,6,9,9,6,9
"306",400,33,"Female",9,1,9,9,7,6,9,7,6,9
